rekrutacja,kolejność_plików,publication_date,print_datetime,page,page_total,wojewodztwo,lp,dziedzina_medycyny,numer_wniosku,tryb_szkolenia,punktacja_proc,srednia_arytmetyczna,data_zlozenia_wniosku,ilość_zakwalifikowanych_w_trybie,czy_miejsca_doktoranckie,doktoranckie_podmiot,doktoranckie_jednostka
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,1,Alergologia,2024/029051,Rezydencki,90.24,3.93,27.09.2024 09:55:44,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,2,Alergologia,2024/031764,Pozarezydencki,81.31,4.22,30.09.2024 12:02:41,2,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,3,Alergologia,2024/027798,Pozarezydencki,80.93,3.80,30.09.2024 13:48:34,2,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,4,Anestezjologia i intensywna terapia,2024/026799,Rezydencki,90.34,4.28,23.09.2024 11:23:00,17,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,5,Anestezjologia i intensywna terapia,2024/026028,Rezydencki,90.20,4.55,28.09.2024 12:05:52,17,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,6,Anestezjologia i intensywna terapia,2024/026691,Rezydencki,89.86,4.20,24.09.2024 07:14:56,17,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,7,Anestezjologia i intensywna terapia,2024/027341,Rezydencki,89.27,4.16,26.09.2024 19:39:01,17,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,8,Anestezjologia i intensywna terapia,2024/023898,Rezydencki,88.29,4.41,18.09.2024 22:35:21,17,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,9,Anestezjologia i intensywna terapia,2024/022673,Rezydencki,88.29,4.24,08.09.2024 11:55:56,17,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,10,Anestezjologia i intensywna terapia,2024/025929,Rezydencki,88.29,3.94,17.09.2024 20:16:14,17,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,11,Anestezjologia i intensywna terapia,2024/024923,Rezydencki,87.44,4.04,30.09.2024 19:18:16,17,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,12,Anestezjologia i intensywna terapia,2024/024584,Rezydencki,87.01,4.00,10.09.2024 18:08:51,17,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,13,Anestezjologia i intensywna terapia,2024/030460,Rezydencki,86.96,3.91,27.09.2024 01:47:36,17,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,14,Anestezjologia i intensywna terapia,2024/031950,Rezydencki,85.51,4.10,28.09.2024 12:43:56,17,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,15,Anestezjologia i intensywna terapia,2024/033005,Rezydencki,85.37,4.47,29.09.2024 22:31:21,17,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,16,Anestezjologia i intensywna terapia,2024/025845,Rezydencki,84.39,4.21,30.09.2024 23:29:09,17,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,17,Anestezjologia i intensywna terapia,2024/024374,Rezydencki,84.31,4.80,26.09.2024 15:21:33,17,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,18,Anestezjologia i intensywna terapia,2024/022943,Rezydencki,84.06,4.14,16.10.2024 12:37:34,17,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,19,Anestezjologia i intensywna terapia,2024/023368,Rezydencki,83.09,4.42,27.09.2024 10:20:25,17,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,20,Anestezjologia i intensywna terapia,2024/032508,Rezydencki,83.09,0.00,24.10.2024 10:53:54,17,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,21,Angiologia,2024/026450,Rezydencki,89.13,4.31,23.09.2024 15:09:36,2,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,22,Angiologia,2024/026486,Rezydencki,86.96,4.03,30.09.2024 17:10:37,2,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,23,Angiologia,2024/032458,Pozarezydencki,76.17,4.21,22.10.2024 19:58:37,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,24,Chirurgia dziecięca,2024/023855,Rezydencki,85.51,3.46,10.09.2024 11:09:14,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,25,Chirurgia klatki piersiowej,2024/026090,Rezydencki,88.41,4.15,26.09.2024 09:39:54,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,26,Chirurgia ogólna,2024/031617,Rezydencki,86.34,4.54,27.09.2024 17:30:39,15,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,27,Chirurgia ogólna,2024/030821,Rezydencki,85.51,3.88,26.09.2024 18:31:53,15,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,28,Chirurgia ogólna,2024/032053,Rezydencki,85.29,4.21,30.09.2024 20:57:10,15,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,29,Chirurgia ogólna,2024/033190,Rezydencki,83.57,4.77,30.09.2024 19:33:46,15,NIE,,
