rekrutacja,kolejność_plików,publication_date,print_datetime,page,page_total,wojewodztwo,lp,dziedzina_medycyny,numer_wniosku,tryb_szkolenia,punktacja_proc,srednia_arytmetyczna,data_zlozenia_wniosku,ilość_zakwalifikowanych_w_trybie,czy_miejsca_doktoranckie,doktoranckie_podmiot,doktoranckie_jednostka
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,1,Anestezjologia i intensywna terapia,2026/011608,Rezydencki,88.52,4.54,28.02.2026 18:35:45,8,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,2,Anestezjologia i intensywna terapia,2026/008356,Rezydencki,87.25,4.35,28.02.2026 23:03:48,8,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,3,Anestezjologia i intensywna terapia,2026/004990,Rezydencki,83.65,4.23,16.02.2026 20:51:14,8,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,4,Anestezjologia i intensywna terapia,2026/009590,Rezydencki,83.25,4.48,26.02.2026 21:24:07,8,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,5,Anestezjologia i intensywna terapia,2026/005320,Rezydencki,83.25,4.21,12.02.2026 21:38:49,8,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,6,Anestezjologia i intensywna terapia,2026/008476,Rezydencki,83.09,4.09,27.02.2026 21:08:07,8,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,7,Anestezjologia i intensywna terapia,2026/010715,Rezydencki,82.86,3.83,09.03.2026 21:19:28,8,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,8,Anestezjologia i intensywna terapia,2026/011026,Rezydencki,82.61,0.00,28.02.2026 20:19:45,8,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,9,Audiologia i foniatria,2026/011735,Pozarezydencki,69.59,2.89,05.03.2026 19:01:46,2,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,10,Audiologia i foniatria,2026/005751,Pozarezydencki,68.69,4.41,09.03.2026 09:20:04,2,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,11,Balneologia i medycyna fizykalna,2026/003604,Rezydencki,65.70,3.86,06.03.2026 11:29:38,1,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,12,Chirurgia dziecięca,2026/007471,Rezydencki,81.43,4.22,11.03.2026 15:09:52,2,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,13,Chirurgia dziecięca,2026/005037,Rezydencki,80.19,3.31,08.02.2026 14:06:57,2,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,14,Chirurgia naczyniowa,2026/004927,Pozarezydencki,81.36,4.00,07.02.2026 16:28:21,1,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,15,Chirurgia ogólna,2026/008497,Rezydencki,88.52,4.10,22.02.2026 12:11:47,7,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,16,Chirurgia ogólna,2026/009407,Rezydencki,79.43,3.82,11.03.2026 19:30:48,7,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,17,Chirurgia ogólna,2026/008361,Rezydencki,73.33,4.83,22.02.2026 20:26:24,7,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,18,Chirurgia ogólna,2026/006291,Rezydencki,72.73,3.52,03.03.2026 13:37:04,7,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,19,Chirurgia ogólna,2026/010714,Rezydencki,64.90,4.05,04.03.2026 14:26:15,7,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,20,Chirurgia ogólna,2026/010704,Rezydencki,59.52,4.57,09.03.2026 22:13:37,7,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,21,Chirurgia ogólna,2026/010080,Rezydencki,58.57,4.32,25.02.2026 23:51:26,7,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,22,Chirurgia onkologiczna,2026/006762,Rezydencki,61.84,3.59,04.03.2026 14:13:20,1,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,23,Chirurgia stomatologiczna,2026/003658,Rezydencki,85.82,4.21,26.02.2026 21:48:59,6,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,24,Chirurgia stomatologiczna,2026/010091,Rezydencki,84.69,4.14,26.02.2026 01:30:16,6,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,25,Chirurgia stomatologiczna,2026/010110,Rezydencki,83.65,4.35,26.02.2026 14:11:55,6,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,26,Chirurgia stomatologiczna,2026/004117,Rezydencki,82.86,4.38,03.02.2026 17:29:35,6,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,27,Chirurgia stomatologiczna,2026/005312,Rezydencki,82.78,4.35,26.02.2026 11:35:00,6,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,28,Chirurgia stomatologiczna,2026/003731,Rezydencki,82.78,3.75,02.02.2026 14:50:57,6,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,29,Chirurgia szczękowo-twarzowa,2026/009834,Pozarezydencki,78.77,4.50,06.03.2026 19:44:47,1,NIE,,
w-2026,15,14.04.2026,14.04.2026 12:16:11,1,85,Dolnośląskie,30,Choroby płuc,2026/010005,Rezydencki,88.04,4.54,25.02.2026 21:23:28,5,NIE,,
